,Títulos,Urls,Precios
0,Xiaomi Redmi Note 10S Dual SIM 128 GB blanco piedra 6 GB RAM,https://www.mercadolibre.cl/xiaomi-redmi-note-10s-dual-sim-128-gb-blanco-piedra-6-gb-ram/p/MLC18027044?pdp_filters=category:MLC1055#searchVariation=MLC18027044&position=1&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,199.990
1,Xiaomi Redmi Note 10S Dual SIM 128 GB blanco piedra 8 GB RAM,https://www.mercadolibre.cl/xiaomi-redmi-note-10s-dual-sim-128-gb-blanco-piedra-8-gb-ram/p/MLC18027047?pdp_filters=category:MLC1055#searchVariation=MLC18027047&position=2&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,246.990
2,Xiaomi Redmi Note 10S Dual SIM 128 GB gris ónix 6 GB RAM,https://www.mercadolibre.cl/xiaomi-redmi-note-10s-dual-sim-128-gb-gris-onix-6-gb-ram/p/MLC18027052?pdp_filters=category:MLC1055#searchVariation=MLC18027052&position=3&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,199.990
3,Xiaomi Redmi Note 10S Dual SIM 128 GB azul océano 6 GB RAM,https://www.mercadolibre.cl/xiaomi-redmi-note-10s-dual-sim-128-gb-azul-oceano-6-gb-ram/p/MLC18027045?pdp_filters=category:MLC1055#searchVariation=MLC18027045&position=4&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,219.990
4,Apple iPhone 11 (64 GB) - Negro,https://www.mercadolibre.cl/apple-iphone-11-64-gb-negro/p/MLC15149561?pdp_filters=category:MLC1055#searchVariation=MLC15149561&position=5&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,489.990
5,Redmi Note 10s 128gb/6gb Liberado Versión Global ,https://articulo.mercadolibre.cl/MLC-954220434-redmi-note-10s-128gb6gb-liberado-version-global-_JM?searchVariation=174112302339#searchVariation=174112302339&position=19&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,219.990
6,Apple iPhone XR 64 GB - Negro,https://www.mercadolibre.cl/apple-iphone-xr-64-gb-negro/p/MLC12866681?pdp_filters=category:MLC1055#searchVariation=MLC12866681&position=6&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,399.990
7,Redmi Note 10s 128g/6g + Mi True Wireless Earbuds Basic 2,https://articulo.mercadolibre.cl/MLC-922888617-redmi-note-10s-128g6g-mi-true-wireless-earbuds-basic-2-_JM?searchVariation=173992682735#searchVariation=173992682735&position=20&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,234.990
8,Xiaomi Redmi Note 10 Pro (Global) Dual SIM 128 GB gris ónix 6 GB RAM,https://www.mercadolibre.cl/xiaomi-redmi-note-10-pro-global-dual-sim-128-gb-gris-onix-6-gb-ram/p/MLC17953707?pdp_filters=category:MLC1055#searchVariation=MLC17953707&position=7&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,254.990
9,Xiaomi Redmi Note 10s 128gb Rom 6gb Ram Ocean Blue,https://articulo.mercadolibre.cl/MLC-968252116-xiaomi-redmi-note-10s-128gb-rom-6gb-ram-ocean-blue-_JM?searchVariation=174263961968#searchVariation=174263961968&position=21&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,219.990
